file_name,duration_ms,speaker,code
ALSM1_EXP_01.wav,4384.08163265306,ALS,EXP_01
ALSM1_EXP_02.wav,3925.48752834467,ALS,EXP_02
ALSM1_EXP_03.wav,4343.44671201814,ALS,EXP_03
ALSM1_EXP_04.wav,4134.46712018141,ALS,EXP_04
ALSM1_EXP_05.wav,3896.46258503401,ALS,EXP_05
ALSM1_EXP_06.wav,3606.21315192744,ALS,EXP_06
ALSM1_EXP_07.wav,4413.10657596372,ALS,EXP_07
ALSM1_EXP_08.wav,3600.40816326531,ALS,EXP_08
ALSM1_EXP_09.wav,3820.9977324263,ALS,EXP_09
ALSM1_EXP_10.wav,3733.92290249433,ALS,EXP_10
ALSM1_EXP_11.wav,4291.20181405896,ALS,EXP_11
ALSM1_EXP_12.wav,4204.12698412698,ALS,EXP_12
ALSM1_EXP_13.wav,4146.07709750567,ALS,EXP_13
ALSM1_EXP_14.wav,3710.70294784581,ALS,EXP_14
ALSM1_EXP_15.wav,4000.95238095238,ALS,EXP_15
ALSM1_EXP_16.wav,4691.74603174603,ALS,EXP_16
ALSM1_EXP_17.wav,5719.22902494331,ALS,EXP_17
ALSM1_EXP_18.wav,4035.78231292517,ALS,EXP_18
ALSM1_EXP_19.wav,4186.71201814059,ALS,EXP_19
ALSM1_EXP_20.wav,4244.76190476191,ALS,EXP_20
ALSM1_EXP_21.wav,4952.97052154195,ALS,EXP_21
ALSM1_EXP_22.wav,5603.12925170068,ALS,EXP_22
ALSM1_EXP_23.wav,4535.01133786848,ALS,EXP_23
ALSM1_EXP_24.wav,3942.90249433107,ALS,EXP_24
ALSM1_EXP_25.wav,3399.410430839,ALS,EXP_25
ALSM1_EXP_26.wav,3304.3537414966,ALS,EXP_26
ALSM1_EXP_27.wav,4221.54195011338,ALS,EXP_27
ALSM1_EXP_28.wav,3931.2925170068,ALS,EXP_28
ALSM1_EXP_29.wav,4302.81179138322,ALS,EXP_29
ALSM1_EXP_30.wav,4053.19727891157,ALS,EXP_30
ALSM1_EXP_31.wav,4279.59183673469,ALS,EXP_31
ALSM1_EXP_32.wav,4418.91156462585,ALS,EXP_32
ALSM1_EXP_33.wav,6299.72789115646,ALS,EXP_33
ALSM1_EXP_34.wav,3621.65532879819,ALS,EXP_34
ALSM1_EXP_35.wav,4558.23129251701,ALS,EXP_35
ALSM1_EXP_36.wav,3588.79818594104,ALS,EXP_36
ALSM1_EXP_37.wav,4836.87074829932,ALS,EXP_37
ALSM1_EXP_38.wav,4755.60090702948,ALS,EXP_38
ALSM1_EXP_39.wav,4209.93197278912,ALS,EXP_39
ALSM1_EXP_40.wav,3873.24263038549,ALS,EXP_40
ALSM1_EXP_41.wav,5138.73015873016,ALS,EXP_41
ALSM1_EXP_42.wav,4267.98185941043,ALS,EXP_42
ALSM1_EXP_43.wav,3960.31746031746,ALS,EXP_43
ALSM1_EXP_44.wav,3600.40816326531,ALS,EXP_44
ALSM1_EXP_45.wav,4105.44217687075,ALS,EXP_45
ALSM1_EXP_46.wav,4848.48072562358,ALS,EXP_46
ALSM1_EXP_47.wav,3751.33786848073,ALS,EXP_47
ALSM1_EXP_48.wav,4476.96145124717,ALS,EXP_48
ALSM1_EXP_49.wav,3687.48299319728,ALS,EXP_49
ALSM1_EXP_50.wav,3890.65759637188,ALS,EXP_50
ALSM1_EXP_51.wav,3108.43537414966,ALS,EXP_51
ALSM1_EXP_52.wav,5022.63038548753,ALS,EXP_52
ALSM1_EXP_53.wav,3995.14739229025,ALS,EXP_53
ALSM1_EXP_54.wav,5759.86394557823,ALS,EXP_54
ALSM1_EXP_55.wav,4029.97732426304,ALS,EXP_55
ALSM1_EXP_56.wav,4128.66213151927,ALS,EXP_56
ALSM1_EXP_57.wav,3989.34240362812,ALS,EXP_57
ALSM1_EXP_58.wav,4140.27210884354,ALS,EXP_58
ALSM1_EXP_59.wav,4186.71201814059,ALS,EXP_59
ALSM1_EXP_60.wav,3670.06802721088,ALS,EXP_60
ALSM1_EXP_61.wav,3710.70294784581,ALS,EXP_61
ALSM1_EXP_62.wav,3710.70294784581,ALS,EXP_62
ALSM1_EXP_63.wav,3579.43310657596,ALS,EXP_63
ALSM1_EXP_64.wav,3588.79818594104,ALS,EXP_64
ALSM1_EXP_65.wav,3983.53741496599,ALS,EXP_65
ALSM1_EXP_66.wav,3548.16326530612,ALS,EXP_66
ALSM1_EXP_67.wav,4488.57142857143,ALS,EXP_67
ALSM1_EXP_68.wav,3089.56916099773,ALS,EXP_68
ALSM1_EXP_69.wav,5069.07029478458,ALS,EXP_69
ALSM1_EXP_70.wav,4465.3514739229,ALS,EXP_70
ALSM1_EXP_71.wav,4802.04081632653,ALS,EXP_71
ALSM1_EXP_72.wav,3989.34240362812,ALS,EXP_72
ALSM1_EXP_73.wav,3838.4126984127,ALS,EXP_73
ALSM1_EXP_74.wav,4401.49659863946,ALS,EXP_74
ALSM1_EXP_75.wav,2941.54195011338,ALS,EXP_75
ALSM1_EXP_76.wav,4070.61224489796,ALS,EXP_76
ALSM1_EXP_77.wav,4871.70068027211,ALS,EXP_77
ALSM1_EXP_78.wav,4535.01133786848,ALS,EXP_78
ALSM1_EXP_79.wav,4372.4716553288,ALS,EXP_79
ALSM1_EXP_80.wav,4256.37188208617,ALS,EXP_80
CM1_EXP_01.wav,1754.42176870748,Control,EXP_01
CM1_EXP_02.wav,1516.41723356009,Control,EXP_02
CM1_EXP_03.wav,1687.66439909297,Control,EXP_03
CM1_EXP_04.wav,1684.7619047619,Control,EXP_04
CM1_EXP_05.wav,1719.59183673469,Control,EXP_05
CM1_EXP_06.wav,1797.95918367347,Control,EXP_06
CM1_EXP_07.wav,1771.83673469388,Control,EXP_07
CM1_EXP_08.wav,1728.29931972789,Control,EXP_08
CM1_EXP_09.wav,1806.66666666667,Control,EXP_09
CM1_EXP_10.wav,2004.03628117914,Control,EXP_10
CM1_EXP_11.wav,2021.45124716553,Control,EXP_11
CM1_EXP_12.wav,1957.59637188209,Control,EXP_12
CM1_EXP_13.wav,1786.34920634921,Control,EXP_13
CM1_EXP_14.wav,1559.95464852608,Control,EXP_14
CM1_EXP_15.wav,1594.78458049887,Control,EXP_15
CM1_EXP_16.wav,1824.08163265306,Control,EXP_16
CM1_EXP_17.wav,1760.22675736961,Control,EXP_17
CM1_EXP_18.wav,1336.46258503401,Control,EXP_18
CM1_EXP_19.wav,1713.78684807256,Control,EXP_19
CM1_EXP_20.wav,1632.51700680272,Control,EXP_20
CM1_EXP_21.wav,1858.91156462585,Control,EXP_21
CM1_EXP_22.wav,1899.54648526077,Control,EXP_22
CM1_EXP_23.wav,1676.05442176871,Control,EXP_23
CM1_EXP_24.wav,1745.71428571429,Control,EXP_24
CM1_EXP_25.wav,1586.07709750567,Control,EXP_25
CM1_EXP_26.wav,1766.03174603175,Control,EXP_26
CM1_EXP_27.wav,1908.25396825397,Control,EXP_27
CM1_EXP_28.wav,1635.41950113379,Control,EXP_28
CM1_EXP_29.wav,1832.78911564626,Control,EXP_29
CM1_EXP_30.wav,1815.37414965986,Control,EXP_30
CM1_EXP_31.wav,1806.66666666667,Control,EXP_31
CM1_EXP_32.wav,1742.81179138322,Control,EXP_32
CM1_EXP_33.wav,1620.90702947846,Control,EXP_33
CM1_EXP_34.wav,1841.49659863946,Control,EXP_34
CM1_EXP_35.wav,1783.44671201814,Control,EXP_35
CM1_EXP_36.wav,1745.71428571429,Control,EXP_36
CM1_EXP_37.wav,1792.15419501134,Control,EXP_37
CM1_EXP_38.wav,1716.68934240363,Control,EXP_38
CM1_EXP_39.wav,1826.98412698413,Control,EXP_39
CM1_EXP_40.wav,1783.44671201814,Control,EXP_40
CM1_EXP_41.wav,1928.57142857143,Control,EXP_41
CM1_EXP_42.wav,1586.07709750567,Control,EXP_42
CM1_EXP_43.wav,1670.24943310658,Control,EXP_43
CM1_EXP_44.wav,1446.75736961451,Control,EXP_44
CM1_EXP_45.wav,1644.12698412698,Control,EXP_45
CM1_EXP_46.wav,1475.78231292517,Control,EXP_46
CM1_EXP_47.wav,1626.71201814059,Control,EXP_47
CM1_EXP_48.wav,1687.66439909297,Control,EXP_48
CM1_EXP_49.wav,1525.12471655329,Control,EXP_49
CM1_EXP_50.wav,1542.53968253968,Control,EXP_50
CM1_EXP_51.wav,1423.53741496599,Control,EXP_51
CM1_EXP_52.wav,1835.69160997732,Control,EXP_52
CM1_EXP_53.wav,1707.98185941043,Control,EXP_53
CM1_EXP_54.wav,2044.67120181406,Control,EXP_54
CM1_EXP_55.wav,1600.589569161,Control,EXP_55
CM1_EXP_56.wav,1557.05215419501,Control,EXP_56
CM1_EXP_57.wav,1542.53968253968,Control,EXP_57
CM1_EXP_58.wav,1626.71201814059,Control,EXP_58
CM1_EXP_59.wav,1873.42403628118,Control,EXP_59
CM1_EXP_60.wav,1647.02947845805,Control,EXP_60
CM1_EXP_61.wav,1661.54195011338,Control,EXP_61
CM1_EXP_62.wav,1745.71428571429,Control,EXP_62
CM1_EXP_63.wav,1707.98185941043,Control,EXP_63
CM1_EXP_64.wav,1638.32199546485,Control,EXP_64
CM1_EXP_65.wav,1766.03174603175,Control,EXP_65
CM1_EXP_66.wav,1748.61678004535,Control,EXP_66
CM1_EXP_67.wav,1725.39682539683,Control,EXP_67
CM1_EXP_68.wav,1600.589569161,Control,EXP_68
CM1_EXP_69.wav,1684.7619047619,Control,EXP_69
CM1_EXP_70.wav,1780.54421768708,Control,EXP_70
CM1_EXP_71.wav,1867.61904761905,Control,EXP_71
CM1_EXP_72.wav,1766.03174603175,Control,EXP_72
CM1_EXP_73.wav,1504.80725623583,Control,EXP_73
CM1_EXP_74.wav,1826.98412698413,Control,EXP_74
CM1_EXP_75.wav,1571.56462585034,Control,EXP_75
CM1_EXP_76.wav,1908.25396825397,Control,EXP_76
CM1_EXP_77.wav,2027.25623582766,Control,EXP_77
CM1_EXP_78.wav,1829.88662131519,Control,EXP_78
CM1_EXP_79.wav,1702.1768707483,Control,EXP_79
CM1_EXP_80.wav,1641.22448979592,Control,EXP_80
